created Logger
gfxInitDefault()
initializing Console
getting font string
Creating Graphics object
Creating Input object
Initializing global api
initialized console
Loading cart
Calling Cart Constructor
getting file contents
Got file contents... parsing cart
Copying data to spritesheet
Copying data to sprite flags
Copying data to sprite flags
Cart Loaded
Starting main loop
block name: ClearFb ms: 32.491252
block name: SetInputState ms: 31.853504
block name: CallLuaUpdate ms: 32.634775
block name: CallLuaDraw ms: 57.570024
block name: GetFb ms: 31.852541
block name: GraphicsFlip ms: 36.567081
block name: gfxFlushBuffers ms: 33.341151
block name: gfxSwapBuffers ms: 32.209728
block name: gspWaitForVBlank ms: 43.803471
block name: PostFlip ms: 31.605659
block name: PreUpdate ms: 36.233385
block name: ClearFb ms: 32.225707
block name: SetInputState ms: 31.834243
block name: CallLuaUpdate ms: 42.337344
block name: CallLuaDraw ms: 50.385396
block name: GetFb ms: 31.741461
block name: GraphicsFlip ms: 32.787211
block name: gfxFlushBuffers ms: 32.588615
block name: gfxSwapBuffers ms: 34.805675
block name: gspWaitForVBlank ms: 44.555352
block name: PostFlip ms: 39.158895
block name: PreUpdate ms: 37.363689
block name: ClearFb ms: 32.871922
block name: SetInputState ms: 31.767592
block name: CallLuaUpdate ms: 32.456013
block name: CallLuaDraw ms: 49.980371
block name: GetFb ms: 31.990081
block name: GraphicsFlip ms: 32.854392
block name: gfxFlushBuffers ms: 32.262646
block name: gfxSwapBuffers ms: 31.993632
block name: gspWaitForVBlank ms: 48.447884
block name: PostFlip ms: 32.300146
block name: PreUpdate ms: 39.754154
block name: ClearFb ms: 32.845881
block name: SetInputState ms: 33.731608
block name: CallLuaUpdate ms: 32.373615
block name: CallLuaDraw ms: 57.167491
block name: GetFb ms: 31.434671
block name: GraphicsFlip ms: 32.813536
block name: gfxFlushBuffers ms: 32.090599
block name: gfxSwapBuffers ms: 32.516093
block name: gspWaitForVBlank ms: 44.095029
block name: PostFlip ms: 31.430031
block name: PreUpdate ms: 36.777434
block name: ClearFb ms: 32.879516
block name: SetInputState ms: 34.959073
block name: CallLuaUpdate ms: 32.851990
block name: CallLuaDraw ms: 60.474327
block name: GetFb ms: 31.563848
block name: GraphicsFlip ms: 33.090017
block name: gfxFlushBuffers ms: 32.534108
block name: gfxSwapBuffers ms: 31.727788
block name: gspWaitForVBlank ms: 42.846915
block name: PostFlip ms: 39.034171
block name: PreUpdate ms: 37.134329
block name: ClearFb ms: 32.196017
block name: SetInputState ms: 31.711003
block name: CallLuaUpdate ms: 32.121041
block name: CallLuaDraw ms: 50.308033
block name: GetFb ms: 35.075614
block name: GraphicsFlip ms: 33.058904
block name: gfxFlushBuffers ms: 32.419372
block name: gfxSwapBuffers ms: 32.435858
block name: gspWaitForVBlank ms: 45.641518
block name: PostFlip ms: 41.765822
block name: PreUpdate ms: 36.241441
block name: ClearFb ms: 33.156818
block name: SetInputState ms: 32.662897
block name: CallLuaUpdate ms: 32.384454
block name: CallLuaDraw ms: 51.033469
block name: GetFb ms: 40.442553
block name: GraphicsFlip ms: 33.310754
block name: gfxFlushBuffers ms: 34.946168
block name: gfxSwapBuffers ms: 32.299004
block name: gspWaitForVBlank ms: 32.881120
block name: PostFlip ms: 31.789598
block name: PreUpdate ms: 36.832970
block name: ClearFb ms: 32.791008
block name: SetInputState ms: 32.556867
block name: CallLuaUpdate ms: 32.998123
block name: CallLuaDraw ms: 51.153903
block name: GetFb ms: 41.963941
block name: GraphicsFlip ms: 33.326225
block name: gfxFlushBuffers ms: 31.967344
block name: gfxSwapBuffers ms: 31.982897
block name: gspWaitForVBlank ms: 43.782808
block name: PostFlip ms: 38.217639
block name: PreUpdate ms: 36.769109
block name: ClearFb ms: 32.856287
block name: SetInputState ms: 31.568182
block name: CallLuaUpdate ms: 32.457304
block name: CallLuaDraw ms: 51.756503
block name: GetFb ms: 31.681575
block name: GraphicsFlip ms: 33.045872
block name: gfxFlushBuffers ms: 32.239350
block name: gfxSwapBuffers ms: 31.598744
block name: gspWaitForVBlank ms: 32.203693
block name: PostFlip ms: 32.078000
block name: PreUpdate ms: 47.609062
block name: ClearFb ms: 35.704896
block name: SetInputState ms: 32.794104
block name: CallLuaUpdate ms: 32.489335
block name: CallLuaDraw ms: 50.996044
block name: GetFb ms: 38.174261
block name: GraphicsFlip ms: 33.423781
block name: gfxFlushBuffers ms: 32.262788
block name: gfxSwapBuffers ms: 32.561790
block name: gspWaitForVBlank ms: 33.027089
block name: PostFlip ms: 31.913247
block name: PreUpdate ms: 36.495783
block name: ClearFb ms: 33.091882
block name: SetInputState ms: 32.026335
block name: CallLuaUpdate ms: 35.423879
block name: CallLuaDraw ms: 51.267431
block name: GetFb ms: 31.560357
block name: GraphicsFlip ms: 33.323942
block name: gfxFlushBuffers ms: 42.398505
block name: gfxSwapBuffers ms: 32.033026
block name: gspWaitForVBlank ms: 41.602614
block name: PostFlip ms: 40.699297
block name: PreUpdate ms: 37.260821
block name: ClearFb ms: 32.335168
block name: SetInputState ms: 31.950545
block name: CallLuaUpdate ms: 32.637087
block name: CallLuaDraw ms: 51.849292
block name: GetFb ms: 32.050877
block name: GraphicsFlip ms: 36.377429
block name: gfxFlushBuffers ms: 34.218711
block name: gfxSwapBuffers ms: 32.387236
block name: gspWaitForVBlank ms: 39.352590
block name: PostFlip ms: 32.678339
block name: PreUpdate ms: 37.464930
block name: ClearFb ms: 32.480570
block name: SetInputState ms: 42.253044
block name: CallLuaUpdate ms: 32.909294
block name: CallLuaDraw ms: 52.857834
block name: GetFb ms: 39.650361
block name: GraphicsFlip ms: 33.354146
block name: gfxFlushBuffers ms: 32.098454
block name: gfxSwapBuffers ms: 32.093486
block name: gspWaitForVBlank ms: 33.286913
block name: PostFlip ms: 34.156065
block name: PreUpdate ms: 36.401688
block name: ClearFb ms: 32.549318
block name: SetInputState ms: 33.160801
block name: CallLuaUpdate ms: 32.640175
block name: CallLuaDraw ms: 51.949131
block name: GetFb ms: 31.920782
block name: GraphicsFlip ms: 33.272732
block name: gfxFlushBuffers ms: 32.151529
block name: gfxSwapBuffers ms: 41.925807
block name: gspWaitForVBlank ms: 41.046145
block name: PostFlip ms: 34.774150
block name: PreUpdate ms: 44.664284
block name: ClearFb ms: 32.603802
block name: SetInputState ms: 32.190952
block name: CallLuaUpdate ms: 32.430009
block name: CallLuaDraw ms: 52.323147
block name: GetFb ms: 32.335653
block name: GraphicsFlip ms: 33.558658
block name: gfxFlushBuffers ms: 32.214659
block name: gfxSwapBuffers ms: 32.300727
block name: gspWaitForVBlank ms: 41.677113
block name: PostFlip ms: 31.567123
block name: PreUpdate ms: 36.653291
block name: ClearFb ms: 32.546625
block name: SetInputState ms: 35.882598
block name: CallLuaUpdate ms: 43.495764
block name: CallLuaDraw ms: 52.803484
block name: GetFb ms: 41.274758
block name: GraphicsFlip ms: 33.135439
block name: gfxFlushBuffers ms: 31.894434
block name: gfxSwapBuffers ms: 31.664791
block name: gspWaitForVBlank ms: 46.961504
block name: PostFlip ms: 31.435783
block name: PreUpdate ms: 36.780962
block name: ClearFb ms: 32.244080
block name: SetInputState ms: 31.867446
block name: CallLuaUpdate ms: 32.417179
block name: CallLuaDraw ms: 54.888240
block name: GetFb ms: 31.824396
block name: GraphicsFlip ms: 33.672260
block name: gfxFlushBuffers ms: 32.944548
block name: gfxSwapBuffers ms: 32.183635
block name: gspWaitForVBlank ms: 50.846726
block name: PostFlip ms: 31.787009
block name: PreUpdate ms: 44.196337
block name: ClearFb ms: 32.698129
block name: SetInputState ms: 32.028490
block name: CallLuaUpdate ms: 32.257947
block name: CallLuaDraw ms: 51.561226
block name: GetFb ms: 32.028535
block name: GraphicsFlip ms: 32.797371
block name: gfxFlushBuffers ms: 35.223030
block name: gfxSwapBuffers ms: 32.624846
block name: gspWaitForVBlank ms: 43.916297
block name: PostFlip ms: 31.535032
block name: PreUpdate ms: 37.200332
block name: ClearFb ms: 32.660876
block name: SetInputState ms: 32.047781
block name: CallLuaUpdate ms: 32.225445
block name: CallLuaDraw ms: 62.619603
block name: GetFb ms: 40.039938
block name: GraphicsFlip ms: 33.123466
block name: gfxFlushBuffers ms: 32.543216
block name: gfxSwapBuffers ms: 31.680949
block name: gspWaitForVBlank ms: 35.476887
block name: PostFlip ms: 31.956990
block name: PreUpdate ms: 36.157073
block name: ClearFb ms: 32.571189
block name: SetInputState ms: 32.693459
block name: CallLuaUpdate ms: 34.661973
block name: CallLuaDraw ms: 52.086708
block name: GetFb ms: 32.335511
block name: GraphicsFlip ms: 33.186134
block name: gfxFlushBuffers ms: 32.589502
block name: gfxSwapBuffers ms: 31.917850
block name: gspWaitForVBlank ms: 34.271800
block name: PostFlip ms: 42.208644
block name: PreUpdate ms: 47.033444
block name: ClearFb ms: 32.517122
block name: SetInputState ms: 31.899007
block name: CallLuaUpdate ms: 33.679548
block name: CallLuaDraw ms: 52.767872
block name: GetFb ms: 31.633118
block name: GraphicsFlip ms: 33.050071
block name: gfxFlushBuffers ms: 32.142555
block name: gfxSwapBuffers ms: 31.941952
block name: gspWaitForVBlank ms: 32.259692
block name: PostFlip ms: 31.867043
block name: PreUpdate ms: 36.920807
block name: ClearFb ms: 32.517122
block name: SetInputState ms: 31.707304
block name: CallLuaUpdate ms: 35.877339
block name: CallLuaDraw ms: 62.637178
block name: GetFb ms: 31.902707
block name: GraphicsFlip ms: 40.959136
block name: gfxFlushBuffers ms: 32.195189
block name: gfxSwapBuffers ms: 31.900111
block name: gspWaitForVBlank ms: 32.609927
block name: PostFlip ms: 32.065997
block name: PreUpdate ms: 37.310264
block name: ClearFb ms: 32.261871
block name: SetInputState ms: 31.950120
block name: CallLuaUpdate ms: 32.132581
block name: CallLuaDraw ms: 53.057736
block name: GetFb ms: 35.098769
block name: GraphicsFlip ms: 33.473790
block name: gfxFlushBuffers ms: 32.318504
block name: gfxSwapBuffers ms: 31.970701
block name: gspWaitForVBlank ms: 32.769398
block name: PostFlip ms: 41.880684
block name: PreUpdate ms: 44.235940
